time,p00,p01,p10,p11
6.05,0.25,0,0.238657,0.011343
6.06,0.25,0,0.238134,0.0118658
6.07,0.25,0,0.2376,0.0123995
6.08,0.25,0,0.237056,0.0129442
6.09,0.25,0,0.2365,0.0134998
6.1,0.25,0,0.235934,0.0140662
6.11,0.25,0,0.235357,0.0146433
6.12,0.25,0,0.234769,0.0152311
6.13,0.25,0,0.234171,0.0158295
6.14,0.25,0,0.233562,0.0164384
6.15,0.25,0,0.232942,0.0170578
6.16,0.25,0,0.232312,0.0176875
6.17,0.25,0,0.231672,0.0183275
6.18,0.25,0,0.231022,0.0189778
6.19,0.25,0,0.230362,0.0196381
6.2,0.25,0,0.229691,0.0203085
6.21,0.25,0,0.229011,0.0209889
6.22,0.25,0,0.228321,0.0216791
6.23,0.25,0,0.227621,0.0223791
6.24,0.25,0,0.226911,0.0230889
6.25,0.25,0,0.226192,0.0238082
6.26,0.25,0,0.225463,0.0245371
6.27,0.25,0,0.224725,0.0252754
6.28,0.25,0,0.223977,0.026023
