time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z
1.24,0.0238283,-0.935468,0.352607,0.0238283,-0.935468,0.352607,0.0238283,-0.935468,0.352607,0.0238283,-0.935468,0.352607,0.0238283,-0.935468,0.352607
1.25,0.0241607,-0.938762,0.343718,0.0241607,-0.938762,0.343718,0.0241607,-0.938762,0.343718,0.0241607,-0.938762,0.343718,0.0241607,-0.938762,0.343718
1.26,0.0244647,-0.942008,0.334697,0.0244647,-0.942008,0.334697,0.0244647,-0.942008,0.334697,0.0244647,-0.942008,0.334697,0.0244647,-0.942008,0.334697
1.27,0.0248651,-0.9452,0.325543,0.0248651,-0.9452,0.325543,0.0248651,-0.9452,0.325543,0.0248651,-0.9452,0.325543,0.0248651,-0.9452,0.325543
1.28,0.0251839,-0.948362,0.31619,0.0251839,-0.948362,0.31619,0.0251839,-0.948362,0.31619,0.0251839,-0.948362,0.31619,0.0251839,-0.948362,0.31619
1.29,0.0255706,-0.951496,0.306597,0.0255706,-0.951496,0.306597,0.0255706,-0.951496,0.306597,0.0255706,-0.951496,0.306597,0.0255706,-0.951496,0.306597
1.3,0.0260809,-0.954492,0.297093,0.0260809,-0.954492,0.297093,0.0260809,-0.954492,0.297093,0.0260809,-0.954492,0.297093,0.0260809,-0.954492,0.297093
1.31,0.0264859,-0.95738,0.287614,0.0264859,-0.95738,0.287614,0.0264859,-0.95738,0.287614,0.0264859,-0.95738,0.287614,0.0264859,-0.95738,0.287614
1.32,0.026992,-0.960143,0.278202,0.026992,-0.960143,0.278202,0.026992,-0.960143,0.278202,0.026992,-0.960143,0.278202,0.026992,-0.960143,0.278202
1.33,0.0276084,-0.962807,0.268775,0.0276084,-0.962807,0.268775,0.0276084,-0.962807,0.268775,0.0276084,-0.962807,0.268775,0.0276084,-0.962807,0.268775
1.34,0.0283446,-0.965357,0.259389,0.0283446,-0.965357,0.259389,0.0283446,-0.965357,0.259389,0.0283446,-0.965357,0.259389,0.0283446,-0.965357,0.259389
1.35,0.0292348,-0.967832,0.249894,0.0292348,-0.967832,0.249894,0.0292348,-0.967832,0.249894,0.0292348,-0.967832,0.249894,0.0292348,-0.967832,0.249894
1.36,0.0301777,-0.970206,0.240395,0.0301777,-0.970206,0.240395,0.0301777,-0.970206,0.240395,0.0301777,-0.970206,0.240395,0.0301777,-0.970206,0.240395
1.37,0.0310804,-0.972489,0.230865,0.0310804,-0.972489,0.230865,0.0310804,-0.972489,0.230865,0.0310804,-0.972489,0.230865,0.0310804,-0.972489,0.230865
1.38,0.0319988,-0.974687,0.221272,0.0319988,-0.974687,0.221272,0.0319988,-0.974687,0.221272,0.0319988,-0.974687,0.221272,0.0319988,-0.974687,0.221272
1.39,0.032978,-0.976771,0.211733,0.032978,-0.976771,0.211733,0.032978,-0.976771,0.211733,0.032978,-0.976771,0.211733,0.032978,-0.976771,0.211733
1.4,0.0337573,-0.978751,0.202253,0.0337573,-0.978751,0.202253,0.0337573,-0.978751,0.202253,0.0337573,-0.978751,0.202253,0.0337573,-0.978751,0.202253
1.41,0.0344136,-0.980663,0.192654,0.0344136,-0.980663,0.192654,0.0344136,-0.980663,0.192654,0.0344136,-0.980663,0.192654,0.0344136,-0.980663,0.192654
1.42,0.0350043,-0.982472,0.183092,0.0350043,-0.982472,0.183092,0.0350043,-0.982472,0.183092,0.0350043,-0.982472,0.183092,0.0350043,-0.982472,0.183092
1.43,0.0355977,-0.98414,0.173783,0.0355977,-0.98414,0.173783,0.0355977,-0.98414,0.173783,0.0355977,-0.98414,0.173783,0.0355977,-0.98414,0.173783
1.44,0.0361817,-0.985739,0.164348,0.0361817,-0.985739,0.164348,0.0361817,-0.985739,0.164348,0.0361817,-0.985739,0.164348,0.0361817,-0.985739,0.164348
1.45,0.0366945,-0.987246,0.154918,0.0366945,-0.987246,0.154918,0.0366945,-0.987246,0.154918,0.0366945,-0.987246,0.154918,0.0366945,-0.987246,0.154918
1.46,0.037331,-0.988629,0.14567,0.037331,-0.988629,0.14567,0.037331,-0.988629,0.14567,0.037331,-0.988629,0.14567,0.037331,-0.988629,0.14567
1.47,0.0381843,-0.989919,0.136393,0.0381843,-0.989919,0.136393,0.0381843,-0.989919,0.136393,0.0381843,-0.989919,0.136393,0.0381843,-0.989919,0.136393
1.48,0.0391357,-0.991137,0.126947,0.0391357,-0.991137,0.126947,0.0391357,-0.991137,0.126947,0.0391357,-0.991137,0.126947,0.0391357,-0.991137,0.126947
