time,x,y,z,microwave_val
0.369,-0.000754358,-0.36089,0.933297,-0.853356
0.37,-0.000957851,-0.361823,0.932936,-0.8481
0.371,-0.000466595,-0.362757,0.932575,-0.842759
0.372,-9.77261e-06,-0.363691,0.932217,-0.837334
0.373,0.00159237,-0.364621,0.931856,-0.831826
0.374,0.00173203,-0.365553,0.931492,-0.826234
0.375,0.00101111,-0.366489,0.93113,-0.820559
0.376,0.00122234,-0.367418,0.930761,-0.814803
0.377,0.000225422,-0.368351,0.930394,-0.808965
0.378,0.000680065,-0.369282,0.930029,-0.803046
0.379,0.000165424,-0.370213,0.929661,-0.797047
0.38,0.000245728,-0.371143,0.929291,-0.790968
0.381,-0.00176583,-0.372069,0.928921,-0.78481
0.382,-0.00199144,-0.372996,0.92855,-0.778573
0.383,0.000811763,-0.373929,0.928176,-0.772259
0.384,0.000138179,-0.374858,0.927802,-0.765867
0.385,-0.000959693,-0.375784,0.927425,-0.759399
0.386,6.32292e-05,-0.376712,0.927049,-0.752855
0.387,-0.00122259,-0.377639,0.926675,-0.746236
0.388,-0.000687765,-0.378567,0.926298,-0.739542
0.389,-0.000672388,-0.379493,0.925919,-0.732774
0.39,-0.000246344,-0.38042,0.925541,-0.725932
0.391,0.000291776,-0.381345,0.92516,-0.719018
0.392,0.000529654,-0.382271,0.924781,-0.712033
0.393,0.000769249,-0.383196,0.9244,-0.704976
0.394,0.000562804,-0.384121,0.924017,-0.697848
0.395,0.0013029,-0.385043,0.923632,-0.690651
0.396,0.000266895,-0.385969,0.923247,-0.683385
0.397,-0.000397906,-0.386892,0.922861,-0.67605
0.398,-0.00194876,-0.38781,0.922474,-0.668648
0.399,-0.00190201,-0.388732,0.922086,-0.661179
0.4,-0.00385037,-0.38964,0.921698,-0.653644
0.401,-0.00543465,-0.390543,0.921308,-0.646043
0.402,-0.00461178,-0.391475,0.920918,-0.638378
0.403,-0.0047282,-0.392395,0.920526,-0.630649
0.404,-0.00404341,-0.393323,0.920134,-0.622857
0.405,-0.00378943,-0.394246,0.919741,-0.615002
0.406,-0.00398241,-0.395163,0.919346,-0.607087
0.407,-0.00446191,-0.396079,0.918954,-0.59911
0.408,-0.00448623,-0.396997,0.918557,-0.591073
0.409,-0.00403749,-0.397921,0.91816,-0.582978
0.41,-0.00507149,-0.398828,0.917764,-0.574824
0.411,-0.00589637,-0.399735,0.917368,-0.566613
0.412,-0.00580194,-0.400655,0.916971,-0.558345
0.413,-0.00524197,-0.40158,0.916571,-0.550021
0.414,-0.00624824,-0.402483,0.916171,-0.541642
0.415,-0.00474345,-0.40342,0.915768,-0.533209
0.416,-0.00515002,-0.404331,0.915365,-0.524722
0.417,-0.00531456,-0.405243,0.914958,-0.516184
0.418,-0.00564221,-0.406153,0.914552,-0.507593
0.419,-0.00473692,-0.407079,0.914145,-0.498952
0.42,-0.00488583,-0.407991,0.913738,-0.490261
0.421,-0.00542339,-0.408898,0.913331,-0.481521
0.422,-0.00543294,-0.409811,0.912921,-0.472732
0.423,-0.00818186,-0.410679,0.912513,-0.463897
0.424,-0.00773944,-0.411601,0.912103,-0.455015
0.425,-0.00755191,-0.412517,0.911693,-0.446087
0.426,-0.00872342,-0.413407,0.911283,-0.437115
0.427,-0.00926268,-0.414307,0.91087,-0.4281
0.428,-0.00842847,-0.415236,0.910457,-0.419041
0.429,-0.00744556,-0.416166,0.910043,-0.409941
0.43,-0.00635461,-0.417094,0.909627,-0.400799
0.431,-0.00748048,-0.417991,0.909225,-0.391618
0.432,-0.00626639,-0.418921,0.908807,-0.382397
0.433,-0.007339,-0.419812,0.908387,-0.373138
0.434,-0.00829434,-0.420702,0.907967,-0.363842
0.435,-0.00794109,-0.421616,0.907545,-0.354509
0.436,-0.00929834,-0.422498,0.907126,-0.345141
0.437,-0.00975538,-0.423394,0.906704,-0.335738
0.438,-0.00794178,-0.424339,0.906281,-0.326302
0.439,-0.00662882,-0.425267,0.905854,-0.316833
0.44,-0.00559539,-0.426188,0.905429,-0.307333
0.441,-0.00499771,-0.427101,0.905004,-0.297802
0.442,-0.00802232,-0.42796,0.904577,-0.288241
0.443,-0.00730994,-0.428877,0.904148,-0.278651
0.444,-0.00871842,-0.429755,0.90372,-0.269033
0.445,-0.00862568,-0.430659,0.903287,-0.259389
0.446,-0.0106376,-0.431517,0.902856,-0.249718
0.447,-0.00958468,-0.432445,0.902425,-0.240022
0.448,-0.00902428,-0.433359,0.901992,-0.230303
0.449,-0.00793137,-0.434282,0.901558,-0.22056
0.45,-0.00891987,-0.435166,0.901126,-0.210796
0.451,-0.00925344,-0.436061,0.900692,-0.20101
0.452,-0.00781955,-0.43699,0.900257,-0.191204
0.453,-0.00815683,-0.437884,0.89982,-0.181379
0.454,-0.0091806,-0.438763,0.89938,-0.171536
0.455,-0.00864148,-0.439673,0.898941,-0.161676
0.456,-0.00906863,-0.440564,0.898503,-0.1518
0.457,-0.00844155,-0.441476,0.898064,-0.141908
0.458,-0.00747595,-0.442391,0.897622,-0.132003
0.459,-0.00788146,-0.443282,0.89718,-0.122084
0.46,-0.0086031,-0.444165,0.896736,-0.112153
0.461,-0.00626545,-0.445102,0.896294,-0.10221
0.462,-0.00525718,-0.446012,0.89585,-0.0922576
0.463,-0.00567747,-0.446903,0.895405,-0.0822958
0.464,-0.00275427,-0.447829,0.894964,-0.0723258
0.465,-0.0012308,-0.448731,0.894516,-0.0623485
0.466,0.000863196,-0.449626,0.894068,-0.052365
0.467,0.00254528,-0.450514,0.893618,-0.0423763
0.468,0.00356344,-0.451401,0.893168,-0.0323833
0.469,0.00553575,-0.452274,0.892716,-0.0223871
0.47,0.0043941,-0.453179,0.892263,-0.0123887
0.471,0.00517967,-0.454063,0.891811,-0.00238898
0.472,0.00529916,-0.454954,0.891357,0.00761095
0.473,0.00760998,-0.455813,0.890904,0.0176101
0.474,0.00786226,-0.4567,0.890448,0.0276075
0.475,0.00968548,-0.457558,0.889996,0.0376022
0.476,0.00960447,-0.458449,0.889538,0.047593
0.477,0.00942351,-0.459342,0.889078,0.0575792
0.478,0.00931725,-0.460234,0.88862,0.0675595
0.479,0.010137,-0.461105,0.88816,0.0775331
0.48,0.00902118,-0.462017,0.887699,0.087499
0.481,0.00925275,-0.462901,0.88724,0.0974561
0.482,0.00901341,-0.463793,0.886776,0.107403
0.483,0.00876154,-0.464684,0.886313,0.11734
0.484,0.0107039,-0.465531,0.885849,0.127265
0.485,0.0100784,-0.466431,0.885384,0.137177
0.486,0.00951287,-0.467327,0.884916,0.147076
0.487,0.00990959,-0.468206,0.884452,0.156959
0.488,0.00787125,-0.46913,0.883986,0.166827
0.489,0.00845124,-0.470003,0.883516,0.176679
0.49,0.00797535,-0.470895,0.883046,0.186512
0.491,0.00722791,-0.47179,0.882575,0.196327
0.492,0.00782107,-0.472662,0.882101,0.206123
0.493,0.00846673,-0.473534,0.88163,0.215898
0.494,0.0107646,-0.474369,0.881157,0.225651
0.495,0.0072297,-0.475318,0.880683,0.235381
0.496,0.00819102,-0.476183,0.880209,0.245089
0.497,0.00784729,-0.477068,0.87973,0.254771
0.498,0.00443668,-0.477996,0.879261,0.264428
0.499,0.00361005,-0.478882,0.878783,0.274059
0.5,0.00465895,-0.479752,0.878304,0.283662
